level,word,part_of_speech,definition,synonyms,more_synonyms
13,authenticate,v,establish the authenticity of something,authenticate,"certify, affirm, substantiate, declare, validate, confirm"
13,autobiography,n,a biography of yourself,autobiography,"account, life, chronicle, biography, experiences, account"
13,autonomous,adj,(of political bodies) not controlled by outside forces,"autonomous, independent, self-governing, sovereign","independent, authorized, representative, independent, free, independent"
13,avail,v,use to one’s advantage,avail,"use, satisfy, futile, serve, benefit, advantage"
13,avid,adj,(often followed by `for’) ardently or excessively desirous,"avid, devouring, esurient, greedy","enthusiastic, enthralled, driven, eager, enthusiastic, astounded"
13,badger,v,annoy persistently,"tease, badger, pester, bug, beleaguer",
13,bait,v,harass with persistent criticism or carping,"tease, razz, rag, cod, tantalize, tantalise, bait, taunt, twit, rally, ride","lure, lure, needle, entice, madden, fascinate"
13,bate,,Synonyms:,"More Synonyms: exclude, take away, dwindle, be unfit, taper off, leave out","exclude, take away, dwindle, be unfit, taper off, leave out"
13,blaze,v,shine brightly and intensively,blaze,"fire, light, torrent, burn, fire, yearn"
13,bliss,n,a state of extreme happiness,"bliss, blissfulness, cloud nine, seventh heaven, walking on air","ecstasy, blessedness, state of great happiness, happiness, happiness, joy"
13,bluff,n,a high steep bank (usually formed by river erosion),bluff,"abrupt, boast, precipice, deceive, challenge what someone is claiming, pretend"
13,boast,v,show off,"boast, tout, swash, shoot a line, brag, gas, blow, bluster, vaunt, gasconade","pride, brag, have advantage, congratulate oneself, bully, brag"
13,brace,v,prepare (oneself) for something unpleasant or difficult,"brace, poise","support, support, approach, support, capture, certify"
13,breakthrough,n,a productive insight,"discovery, breakthrough, find","progress, improvement, ahead, increase, invention, addition"
13,broaden,v,make broader,broaden,"extend, expand, stretch, increase, increase, extend"
13,buffet,v,strike against forcefully,"buffet, knock about, batter","meal, hit, strike, strike, throb, hit"
13,bully,n,a cruel and brutal fellow,"bully, tough, hooligan, ruffian, roughneck, rowdy, yob, yobo, yobbo","domineer, intimidate, nag, brag, castigate, intimidate"
13,bypass,v,avoid something unpleasant or laborious,"bypass, short-circuit, go around, get around","avoid, open-heart surgery, stay away, ignore, fool, say no"
13,candid,adj,characterized by directness in manner or speech; without subtlety or evasion,"blunt, candid, forthright, frank, free-spoken, outspoken, plainspoken, point-blank, straight-from-the-shoulder","honest, candidness, shameless, abrupt, straightforward, informative"
13,capitalism,n,an economic system based on private ownership of capital,"capitalism, capitalist economy","system, representation, free trade, fair trade, capitalist economic practices, for-profit businesses"
13,carat,n,a unit of weight for precious stones = 200 mg,carat,"real, authentic, optimum, genuine, legitimate, straightforward"
13,cascade,v,"rush down in big quantities, like a cascade","cascade, cascade down","fall, fall, lower, descend, issue, pour"
13,casualty,n,someone injured or killed or captured or missing in a military engagement,casualty,"accident, victim, disaster, divine act, catastrophe, calamity"
13,categorize,v,place into or assign to a category,"categorize, categorise","sort, judge, classify, classify, order, classify"
13,cerebral,,,,
13,charitable,adj,relating to or characterized by charity,charitable,"generous, kind, unselfish, event, advantageous, friendly"
13,chassis,n,alternative names for the body of a human being,"human body, physical body, material body, soma, build, figure, physique, anatomy, shape, bod, chassis, frame, form, flesh","physique, bulk, container, shape, build, form"
13,chronological,adj,relating to or arranged according to temporal order,chronological,"consecutively, in sequence, storylike, momentary"
13,circulate,v,become widely known and passed on,"go around, spread, circulate","make known, flow, freshen, declare, relay, publicize"
13,citrus,n,any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions,"citrus, citrus fruit, citrous fruit",
13,clarification,n,an interpretation that removes obstacles to understanding,"clarification, elucidation, illumination","explanation, document, description, understanding, exemplification, understanding"
13,cleanse,v,"clean one’s body or parts thereof, as by washing","cleanse, clean","wash, initiate, wash, purify, unclutter, clean"
13,clever,adj,showing self-interest and shrewdness in dealing with others,"cagey, cagy, canny, clever","ingenious, witty comment, talented, perceptive, skilled, nimble"
13,coarse,adj,of textures that are rough to the touch or substances consisting of relatively large particles,"coarse, harsh",
13,coherent,adj,"marked by an orderly, logical, and aesthetically consistent relation of parts","coherent, consistent, logical, ordered","understandable, coherent, understandable, understandable, related, compatible"
13,collaborate,v,work together on a common enterprise of project,"collaborate, join forces, cooperate, get together","cooperate, help, agree, assist, agree, cooperate, agree, cooperate"
13,compassion,n,a deep awareness of and sympathy for another’s suffering,"compassion, compassionateness","feeling, charity, kindness, forgiveness, help, sympathy"
13,compel,v,force somebody to do something,"compel, oblige, obligate","force, persuade, obligate, extort, cause, bring about"
13,compensate,v,adjust for,"compensate, counterbalance, correct, make up, even out, even off, even up","pay back, offset, adjust, equal, counterbalance, offset"
13,competent,adj,properly or sufficiently qualified or capable or efficient,competent,"able, capable, enough, able, ingenious, adapted"
13,complementary,n,either one of two chromatic colors that when mixed together give white (in the case of lights) or grey (in the case of pigments),"complementary color, complementary","companion, supplementary, accessory, contributing, equivalent, similar"
13,compliment,n,a remark (or act) expressing praise and admiration,compliment,"praise, praise, damning with faint praise, insult, clap, criticism"
13,complimentary,adj,conveying or resembling a compliment,complimentary,
13,compulsory,adj,required by rule,"compulsory, mandatory, required","binding, necessary, bound for, optional, requirement, powerful"
13,conceal,v,prevent from being seen or discovered,"hide, conceal","hide, deceive, cover, cover, forget, hide"
13,conceive,v,have the idea for,"gestate, conceive, conceptualize, conceptualise","understand, create, understand, trust, problem-solve, think"
13,conceptual,adj,being or characterized by concepts or their formation,conceptual,
13,concession,n,a contract granting the right to operate a subsidiary business,"concession, grant","yielding, belief, recognition, confession, concurrence, regret"
13,concise,adj,expressing much in few words,concise,"short, short, concise, brief, abridged, abrupt"
13,concord,n,capital of the state of New Hampshire; located in south central New Hampshire on the Merrimack river,"Concord, capital of New Hampshire","harmony, agreement, agreement, conform, concurrence, association"
13,concurrent,adj,occurring or operating at the same time,"coincident, coincidental, coinciding, concurrent, co-occurrent, cooccurring, simultaneous","simultaneous, agreeing, similar, incidental, coexist, accessory"
13,condemn,v,express strong disapproval of,"condemn, reprobate, decry, objurgate, excoriate","blame, prohibit, accuse, criticize, find guilty, disapprove"
13,condense,v,undergo condensation; change from a gaseous to a liquid state and fall in drops,"condense, distill, distil","abridge, shorten, shorten, shorten, concentrate, clot"
13,conditional,adj,qualified by reservations,conditional,"dependent, approximate, conditioned reaction, possible, contingent, future"
13,confer,v,have a conference in order to talk something over,"confer, confabulate, confab, consult","discuss, honor, approve, request, reward, negotiate"
